Row_ID,Project_Name,Project_Location,Project_Type,Budget_Line_Item,Sub_Category,Main_Category,Phase,Budgeted_Amount_Lacs,Spent_Amount_Lacs,Percentage_Spent,Remaining_Amount_Lacs,Contingency_Allocated_Lacs,Contingency_Used_Lacs,Vendor_Name,Unit_Rate_Rupees,Quantity_Units,Unit_Type,Work_Status,Completion_Target_Percent,Actual_Completion_Percent,Timeline_Status,Risk_Level,Risk_Description,Approval_Status,Invoice_Pending_Lacs,Notes
106,SWC Facility,Jaipur RJ,Commercial,Foundation Work,Foundation Work,Civil Works,Foundation,14.20,13.80,97.2,0.40,1.50,0.00,Concrete Suppliers Inc,2000,7100,sqm,On-track,100,97.2,On-track,Low,Nearly done,Approved,0.00,Good execution
107,SWC Facility,Jaipur RJ,Commercial,Structural Frame,Structural Frame,Civil Works,Structure,18.50,15.20,82.2,3.30,2.00,0.00,Steel Fabricators India,750,24667,unit,On-track,85,82.2,On-track,Low,Good progress,Approved,0.00,On-track
108,SWC Facility,Jaipur RJ,Commercial,External Finishing,Infill Walls,Civil Works,Infill,12.80,3.50,27.3,9.30,1.50,0.00,Brick Suppliers Ltd,2600,4923,1000brick,Planning,30,27.3,On-track,Low,Post-structure,Approved,0.00,On pace
109,SWC Facility,Jaipur RJ,Commercial,Internal Finishing,Finishes,Finishes,Finishes,15.20,2.10,13.8,13.10,2.00,0.00,Surface Finish Ltd,200,76000,sqm,Planning,15,13.8,On-track,Low,Month 8 schedule,Approved,0.00,Scheduled
110,SWC Facility,Jaipur RJ,Commercial,MEP Installation,MEP System,MEP,MEP-Execution,10.50,4.80,45.7,5.70,1.50,0.50,Power Systems Ltd,480,131250,meter,Execution,50,45.7,On-track,Low,On-track,Approved,0.50,Good progress
111,SWC Facility,Jaipur RJ,Commercial,Landscaping,Finishes,Finishes,Finishes,6.80,1.20,17.6,5.60,1.00,0.00,Landscaping Services,1200,5667,sqm,Planning,15,17.6,Ahead,Low,Final phase,Approved,0.00,Ahead of schedule
112,SWC Facility,Jaipur RJ,Commercial,Project Management,PM & Admin,PM,PM,3.50,2.10,60.0,1.40,0.70,0.00,DEC Internal,Per month,3.5,monthly,Execution,60,60.0,On-track,Low,On-track,Approved,0.00,Staffing good
113,Urdu University,Hyderabad TS,Educational,Academic Complex Foundation,Foundation Work,Civil Works,Foundation,16.80,16.40,97.6,0.40,1.80,0.00,Concrete Suppliers Inc,1950,8410,sqm,On-track,100,97.6,On-track,Low,Nearly done,Approved,0.00,Excellent precision
114,Urdu University,Hyderabad TS,Educational,Academic Complex Structure,Structural Frame,Civil Works,Structure,24.50,19.80,80.8,4.70,2.50,0.00,Steel Fabricators India,720,34028,unit,On-track,85,80.8,On-track,Low,On-schedule,Approved,0.00,Good progress
115,Urdu University,Hyderabad TS,Educational,Academic Complex Finishes,Finishes,Finishes,Finishes,20.30,3.50,17.2,16.80,2.00,0.00,Surface Finish Ltd,190,107000,sqm,Planning,20,17.2,On-track,Low,Post-structural,Approved,0.00,Scheduled
116,Urdu University,Hyderabad TS,Educational,Library Foundation,Foundation Work,Civil Works,Foundation,12.50,12.10,96.8,0.40,1.40,0.00,Concrete Suppliers Inc,1880,6437,sqm,On-track,100,96.8,On-track,Low,Nearly done,Approved,0.00,Good execution
117,Urdu University,Hyderabad TS,Educational,Library Structure,Structural Frame,Civil Works,Structure,18.20,14.50,79.7,3.70,1.90,0.00,Steel Fabricators India,700,26000,unit,On-track,80,79.7,On-track,Low,On-track,Approved,0.00,Good pace
118,Urdu University,Hyderabad TS,Educational,Library Finishes,Finishes,Finishes,Finishes,15.80,2.40,15.2,13.40,1.50,0.00,Surface Finish Ltd,175,90286,sqm,Planning,20,15.2,On-track,Low,Post-structural,Approved,0.00,Scheduled
119,Urdu University,Hyderabad TS,Educational,Hostel Block Foundation,Foundation Work,Civil Works,Foundation,10.80,10.50,97.2,0.30,1.20,0.00,Concrete Suppliers Inc,1850,5676,sqm,On-track,100,97.2,On-track,Low,Nearly done,Approved,0.00,Excellent execution
120,Urdu University,Hyderabad TS,Educational,Hostel Block Structure,Structural Frame,Civil Works,Structure,15.50,12.30,79.4,3.20,1.60,0.00,Steel Fabricators India,680,22647,unit,On-track,80,79.4,On-track,Low,On-schedule,Approved,0.00,Good pace
121,Urdu University,Hyderabad TS,Educational,Hostel Block Finishes,Finishes,Finishes,Finishes,12.20,1.80,14.8,10.40,1.40,0.00,Surface Finish Ltd,160,76250,sqm,Planning,15,14.8,On-track,Low,Post-structural,Approved,0.00,Scheduled
122,Urdu University,Hyderabad TS,Educational,Campus Infrastructure,Civil Works,Civil Works,Infrastructure,8.90,4.20,47.2,4.70,1.00,0.00,Utility Services,Per system,8.9,system,Execution,50,47.2,On-track,Low,Utilities ongoing,Approved,0.00,Progressing
123,Urdu University,Hyderabad TS,Educational,Campus MEP,MEP System,MEP,MEP-Execution,10.50,3.80,36.2,6.70,1.30,0.00,Power Systems Ltd,Per block,10.5,block,Execution,35,36.2,On-track,Low,Shared services,Approved,0.00,Good progress
124,Urdu University,Hyderabad TS,Educational,Project Management,PM & Admin,PM,PM,4.80,2.80,58.3,2.00,0.90,0.00,DEC Internal,Per month,4.8,monthly,Execution,60,58.3,On-track,Low,On-track,Approved,0.00,Staffing adequate
125,APIIC Industrial Park,Mangalgiri AP,Industrial,Site Development,Site Preparation,Civil Works,Foundation,6.50,6.40,98.5,0.10,0.80,0.00,Ground Works Ltd,800,8125,sqm,Complete,100,98.5,On-track,Low,Completed,Approved,0.00,Efficient execution
126,APIIC Industrial Park,Mangalgiri AP,Industrial,Phase 1 Foundation,Foundation Work,Civil Works,Foundation,12.20,11.90,97.5,0.30,1.40,0.00,Concrete Suppliers Inc,1900,6316,sqm,On-track,100,97.5,On-track,Low,Nearly done,Approved,0.00,Good execution
127,APIIC Industrial Park,Mangalgiri AP,Industrial,Phase 1 Structure,Structural Frame,Civil Works,Structure,16.50,13.20,80.0,3.30,1.80,0.00,Steel Fabricators India,700,23571,unit,On-track,85,80.0,On-track,Low,On-schedule,Approved,0.00,Good progress
128,APIIC Industrial Park,Mangalgiri AP,Industrial,Phase 1 Finishes,Finishes,Finishes,Finishes,10.80,1.50,13.9,9.30,1.50,0.00,Surface Finish Ltd,160,67500,sqm,Planning,15,13.9,On-track,Low,Post-structural,Approved,0.00,Scheduled
129,APIIC Industrial Park,Mangalgiri AP,Industrial,Phase 2 Foundation,Foundation Work,Civil Works,Foundation,11.50,9.80,85.2,1.70,1.30,0.00,Concrete Suppliers Inc,1880,5213,sqm,Execution,85,85.2,Ahead,Low,In progress,Approved,0.00,Good pace
130,APIIC Industrial Park,Mangalgiri AP,Industrial,Phase 2 Structure,Structural Frame,Civil Works,Structure,15.80,10.20,64.6,5.60,1.70,0.00,Steel Fabricators India,680,22647,unit,Execution,65,64.6,On-track,Low,Scheduled,Approved,0.00,On-track
131,APIIC Industrial Park,Mangalgiri AP,Industrial,Phase 2 Finishes,Finishes,Finishes,Finishes,9.50,0.80,8.4,8.70,1.20,0.00,Surface Finish Ltd,150,63333,sqm,Planning,10,8.4,On-track,Low,Post-structural,Approved,0.00,Scheduled
132,APIIC Industrial Park,Mangalgiri AP,Industrial,Common Infrastructure,Civil Works,Civil Works,Infrastructure,8.20,2.10,25.6,6.10,1.00,0.00,Utility Services,Per system,8.2,system,Planning,25,25.6,Ahead,Low,Design phase,Approved,0.00,On schedule
133,APIIC Industrial Park,Mangalgiri AP,Industrial,MEP Industrial,MEP System,MEP,MEP-Execution,12.50,4.50,36.0,8.00,1.80,1.00,Power Systems Ltd,450,131250,meter,Execution,35,36.0,On-track,Medium,Complex routing,Approved,1.00,Good progress
134,APIIC Industrial Park,Mangalgiri AP,Industrial,Project Management,PM & Admin,PM,PM,3.80,2.20,57.9,1.60,0.70,0.00,DEC Internal,Per month,3.8,monthly,Execution,60,57.9,On-track,Low,On-track,Approved,0.00,Staffing good
135,Gajwel Auditorium,Gajwel TS,Entertainment,Foundation & Structure,Foundation Work,Civil Works,Foundation,8.50,8.20,96.5,0.30,1.00,0.00,Concrete Suppliers Inc,1950,4359,sqm,On-track,100,96.5,On-track,Low,Nearly done,Approved,0.00,Good execution
136,Gajwel Auditorium,Gajwel TS,Entertainment,Auditorium Shell,Structural Frame,Civil Works,Structure,12.80,10.50,82.0,2.30,1.50,0.00,Steel Fabricators India,800,16000,unit,On-track,85,82.0,On-track,Low,Good progress,Approved,0.00,On-track
137,Gajwel Auditorium,Gajwel TS,Entertainment,Finishes & Interiors,Finishes,Finishes,Finishes,10.20,1.80,17.6,8.40,1.30,0.00,Surface Finish Ltd,200,51000,sqm,Planning,20,17.6,On-track,Low,Post-structural,Approved,0.00,Scheduled
138,Gajwel Auditorium,Gajwel TS,Entertainment,Seating System,Finishes,Finishes,Finishes,6.50,0.50,7.7,6.00,0.80,0.00,Seating Manufacturers,150000,43.33,seat,Planning,10,7.7,On-track,Low,Equipment tender,Approved,0.00,RFQ issued
139,Gajwel Auditorium,Gajwel TS,Entertainment,Sound & Lighting,MEP System,MEP,MEP-Execution,5.20,0.80,15.4,4.40,0.80,0.00,Audio Visual Systems,Per system,5.2,system,Planning,15,15.4,On-track,Low,Design phase,Approved,0.00,Specifications finalized
140,Gajwel Auditorium,Gajwel TS,Entertainment,Project Management,PM & Admin,PM,PM,1.80,1.10,61.1,0.70,0.40,0.00,DEC Internal,Per month,1.8,monthly,Execution,60,61.1,On-track,Low,On-track,Approved,0.00,Staffing adequate
141,Kollur Housing,Hyderabad TS,Residential,Plot Development,Site Preparation,Civil Works,Foundation,4.20,4.10,97.6,0.10,0.50,0.00,Ground Works Ltd,500,8200,sqm,Complete,100,97.6,On-track,Low,Completed,Approved,0.00,Efficient execution
142,Kollur Housing,Hyderabad TS,Residential,Villa Type-A Foundation,Foundation Work,Civil Works,Foundation,5.80,5.70,98.3,0.10,0.70,0.00,Concrete Suppliers Inc,1800,3222,unit,On-track,100,98.3,On-track,Low,Nearly done,Approved,0.00,Good execution
143,Kollur Housing,Hyderabad TS,Residential,Villa Type-A Structure,Structural Frame,Civil Works,Structure,8.50,7.20,84.7,1.30,1.00,0.00,Steel Fabricators India,650,13077,unit,On-track,85,84.7,On-track,Low,On-track,Approved,0.00,Good pace
144,Kollur Housing,Hyderabad TS,Residential,Villa Type-B Foundation,Foundation Work,Civil Works,Foundation,5.20,5.10,98.1,0.10,0.65,0.00,Concrete Suppliers Inc,1750,2914,unit,On-track,100,98.1,On-track,Low,Nearly done,Approved,0.00,Good execution
145,Kollur Housing,Hyderabad TS,Residential,Villa Type-B Structure,Structural Frame,Civil Works,Structure,7.80,6.50,83.3,1.30,1.00,0.00,Steel Fabricators India,620,12903,unit,On-track,85,83.3,On-track,Low,Good pace,Approved,0.00,On-track
146,Kollur Housing,Hyderabad TS,Residential,Common Infrastructure,Civil Works,Civil Works,Infrastructure,6.50,2.80,43.1,3.70,0.80,0.00,Utility Services,Per system,6.5,system,Execution,45,43.1,On-track,Low,Ongoing,Approved,0.00,On schedule
147,Kollur Housing,Hyderabad TS,Residential,MEP Residential,MEP System,MEP,MEP-Execution,8.20,2.50,30.5,5.70,1.00,0.50,Power Systems Ltd,400,122500,meter,Execution,30,30.5,On-track,Low,In progress,Approved,0.50,Good progress
148,Kollur Housing,Hyderabad TS,Residential,Finishes Phase 1,Finishes,Finishes,Finishes,10.50,1.20,11.4,9.30,1.30,0.00,Surface Finish Ltd,180,58333,sqm,Planning,15,11.4,On-track,Low,Starting,Approved,0.00,Scheduled
149,Kollur Housing,Hyderabad TS,Residential,Project Management,PM & Admin,PM,PM,3.50,1.80,51.4,1.70,0.60,0.00,DEC Internal,Per month,3.5,monthly,Execution,50,51.4,On-track,Low,On-track,Approved,0.00,Staffing good
150,JNTU Campus,Anantapur AP,Educational,MEP Installation,MEP System,MEP,MEP-Execution,7.50,2.80,37.3,4.70,1.00,0.30,Power Systems Ltd,Per system,7.5,system,Execution,40,37.3,On-track,Low,In progress,Approved,0.30,Ongoing work
